accident_id,accident_date,accident_time,latitude,longitude,severity,weather,light_conditions,road_type,city,state
A00025,2024-03-26,07:00,23.063380215871014,72.54645494171132,3,Fog,Daylight,Market Road,Ahmedabad,Gujarat
A00026,2024-04-24,11:00,22.569400461256908,88.4056128242322,3,Sunny,Daylight,Highway,Kolkata,West Bengal
A00027,2024-01-08,21:00,28.583203167015704,77.18516721839595,3,Fog,Daylight,Curvy Road,Delhi,Delhi
A00028,2024-04-23,22:00,18.51983873730662,73.84504444640734,3,Fog,Sunset,Crossroad,Pune,Maharashtra
A00029,2024-05-05,05:00,26.88947809744437,80.98544672233477,3,Clear,Daylight,Tunnel Road,Lucknow,Uttar Pradesh
A00030,2024-07-13,02:00,23.018788149911984,72.56070585087895,3,Cloudy,Daylight,Curvy Road,Ahmedabad,Gujarat
A00031,2024-03-20,03:00,23.04003509648358,72.58488967719877,3,Clear,Night,Tunnel Road,Ahmedabad,Gujarat
A00032,2024-11-18,06:00,22.55234465175077,88.35956443987854,3,Fog,Night,Curvy Road,Kolkata,West Bengal
A00033,2024-02-22,19:00,19.08771839533188,72.90148798821458,2,Rainy,Night,Tunnel Road,Mumbai,Maharashtra
A00034,2024-03-04,16:00,19.071159068809713,72.8564128312114,2,Sunny,Sunset,Market Road,Mumbai,Maharashtra
A00035,2024-05-28,04:00,26.88873177693723,75.77317513070459,2,Cloudy,Night,Highway,Jaipur,Rajasthan
A00036,2024-06-11,02:00,28.616266882897957,77.20969416169295,3,Cloudy,Daylight,Highway,Delhi,Delhi
A00037,2024-08-12,17:00,17.402941730893588,78.46121839254532,3,Rainy,Night,Tunnel Road,Hyderabad,Telangana
A00038,2024-12-17,09:00,22.58535907212684,88.43046219031602,3,Sunny,Daylight,Tunnel Road,Kolkata,West Bengal
A00039,2024-11-09,01:00,22.584372479015364,88.34863109122878,2,Rainy,Daylight,Crossroad,Kolkata,West Bengal
A00040,2024-04-18,20:00,22.997827402028534,72.60503092001973,1,Rainy,Night,Crossroad,Ahmedabad,Gujarat
A00041,2024-10-20,09:00,17.375163158504613,78.49135572051577,3,Clear,Daylight,Ring Road,Hyderabad,Telangana
A00042,2024-09-16,19:00,23.0174165228755,72.5758879243422,3,Rainy,Daylight,Ring Road,Ahmedabad,Gujarat
A00043,2024-08-16,14:00,19.07121216314525,72.90604914996166,3,Sunny,Night,Highway,Mumbai,Maharashtra
A00044,2024-10-22,19:00,26.849050460068877,80.92955384861688,3,Clear,Night,Crossroad,Lucknow,Uttar Pradesh
A00045,2024-02-02,07:00,18.53690285171083,73.84589903656035,2,Sunny,Daylight,Ring Road,Pune,Maharashtra
A00046,2024-12-08,18:00,23.00397044313697,72.56191781431919,3,Sunny,Sunset,Highway,Ahmedabad,Gujarat
A00047,2024-05-11,08:00,13.009943571663824,80.26979485000113,3,Fog,Daylight,Crossroad,Chennai,Tamil Nadu
A00048,2024-03-07,01:00,12.956355794070582,77.59016659043547,3,Rainy,Night,Ring Road,Bengaluru,Karnataka
A00049,2024-06-13,07:00,19.094666214321304,72.84353500646658,3,Clear,Night,Curvy Road,Mumbai,Maharashtra
A00050,2024-11-10,19:00,19.096186586489523,72.87276750678616,2,Fog,Daylight,Ring Road,Mumbai,Maharashtra
A00051,2024-05-08,01:00,13.072397667012362,80.32964085143907,3,Cloudy,Daylight,Market Road,Chennai,Tamil Nadu
A00052,2024-02-12,13:00,23.037932028097114,72.58909166278224,3,Cloudy,Night,Curvy Road,Ahmedabad,Gujarat
A00053,2024-06-09,03:00,13.08799461931088,80.27316989660152,1,Fog,Daylight,Highway,Chennai,Tamil Nadu
A00054,2024-11-28,21:00,17.412420658776547,78.45824665381731,3,Rainy,Night,Tunnel Road,Hyderabad,Telangana
A00055,2024-10-13,09:00,28.64550837197731,77.1872961157339,3,Sunny,Sunset,Market Road,Delhi,Delhi
A00056,2024-08-24,11:00,17.37786914625931,78.49246704292585,2,Cloudy,Daylight,Crossroad,Hyderabad,Telangana
A00057,2024-01-07,17:00,18.48322678773038,73.81267424202743,1,Fog,Night,Curvy Road,Pune,Maharashtra
A00058,2024-06-28,01:00,18.531073789247827,73.87975551342448,3,Clear,Night,Curvy Road,Pune,Maharashtra
A00059,2024-02-11,11:00,17.39436208793385,78.4911979501019,3,Cloudy,Night,Ring Road,Hyderabad,Telangana
A00060,2024-11-13,21:00,26.851248564820818,80.94696280107836,2,Sunny,Night,Ring Road,Lucknow,Uttar Pradesh
A00061,2024-02-12,08:00,17.347195057044825,78.46820915775882,2,Rainy,Sunset,Highway,Hyderabad,Telangana
A00062,2024-11-23,21:00,26.81258575858391,80.918017826486,3,Sunny,Daylight,Ring Road,Lucknow,Uttar Pradesh
A00063,2024-09-25,07:00,28.633055535817835,77.20189694191109,2,Sunny,Night,Highway,Delhi,Delhi
A00064,2024-11-24,20:00,19.089488270902155,72.88365455958017,3,Clear,Daylight,Tunnel Road,Mumbai,Maharashtra
A00065,2024-10-12,23:00,28.61503585745027,77.22653717883848,2,Cloudy,Sunset,Tunnel Road,Delhi,Delhi
A00066,2024-11-25,20:00,13.102339624887241,80.27623958327715,3,Rainy,Daylight,Tunnel Road,Chennai,Tamil Nadu
A00067,2024-12-21,09:00,12.965577525093414,77.55763573010556,2,Fog,Night,Highway,Bengaluru,Karnataka
A00068,2024-02-06,14:00,19.063122667391042,72.89535659809313,3,Sunny,Sunset,Market Road,Mumbai,Maharashtra
A00069,2024-07-22,15:00,26.801409217222393,80.9498344070555,3,Rainy,Night,Tunnel Road,Lucknow,Uttar Pradesh
A00070,2024-07-21,11:00,17.401054243063662,78.50948163817927,3,Clear,Sunset,Curvy Road,Hyderabad,Telangana
A00071,2024-09-20,19:00,19.073232973861003,72.88975477562103,3,Sunny,Daylight,Highway,Mumbai,Maharashtra
A00072,2024-12-23,03:00,18.537269498618695,73.86921790343575,3,Cloudy,Daylight,Curvy Road,Pune,Maharashtra
A00073,2024-12-27,20:00,26.83200149534518,80.960258173895,3,Fog,Daylight,Market Road,Lucknow,Uttar Pradesh
A00074,2024-10-27,08:00,23.049015836103592,72.56486679252824,1,Sunny,Daylight,Market Road,Ahmedabad,Gujarat
A00075,2024-08-07,20:00,19.056518808850356,72.9173391209682,3,Cloudy,Daylight,Market Road,Mumbai,Maharashtra
A00076,2024-03-26,22:00,28.56275908959511,77.19632376668785,3,Cloudy,Daylight,Ring Road,Delhi,Delhi
A00077,2024-01-03,16:00,13.124061292387902,80.23335506285346,2,Rainy,Sunset,Ring Road,Chennai,Tamil Nadu
A00078,2024-11-29,14:00,22.548480828035792,88.38628264358618,3,Rainy,Night,Highway,Kolkata,West Bengal
A00079,2024-04-17,00:00,22.526392571039068,88.42340158704555,3,Fog,Daylight,Market Road,Kolkata,West Bengal
A00080,2024-08-15,15:00,12.965061438401941,77.5612804341125,3,Rainy,Sunset,Curvy Road,Bengaluru,Karnataka
A00081,2024-03-25,11:00,22.530038743873575,88.37030937644538,2,Fog,Night,Tunnel Road,Kolkata,West Bengal
A00082,2024-04-22,07:00,22.980327358080412,72.54346197260851,3,Clear,Daylight,Market Road,Ahmedabad,Gujarat
A00083,2024-08-07,02:00,26.892811260262267,75.82370144199716,3,Rainy,Sunset,Curvy Road,Jaipur,Rajasthan
A00084,2024-08-22,02:00,26.92345450810011,75.78191468611776,3,Cloudy,Night,Highway,Jaipur,Rajasthan
A00085,2024-10-07,16:00,23.01729404512895,72.55483034979268,3,Cloudy,Daylight,Market Road,Ahmedabad,Gujarat
A00086,2024-01-17,07:00,13.004809712389356,77.56738219859717,3,Clear,Night,Crossroad,Bengaluru,Karnataka
A00087,2024-09-02,12:00,19.05038180874837,72.84999423824694,2,Fog,Sunset,Ring Road,Mumbai,Maharashtra
A00088,2024-05-28,09:00,18.541560956306853,73.83416621829221,3,Clear,Daylight,Crossroad,Pune,Maharashtra
A00089,2024-09-14,16:00,26.79424855031577,80.95019281205411,3,Clear,Daylight,Ring Road,Lucknow,Uttar Pradesh
A00090,2024-05-09,03:00,23.027660470970478,72.53962062136647,3,Clear,Daylight,Highway,Ahmedabad,Gujarat
A00091,2024-09-18,14:00,22.986327136146336,72.5659698158402,2,Fog,Night,Crossroad,Ahmedabad,Gujarat
A00092,2024-12-15,16:00,18.507866606077044,73.88496714454493,1,Clear,Daylight,Curvy Road,Pune,Maharashtra
A00093,2024-05-09,08:00,17.39818503691861,78.51006809510537,3,Cloudy,Sunset,Highway,Hyderabad,Telangana
A00094,2024-10-27,15:00,28.581148973715823,77.19738700892577,3,Sunny,Daylight,Market Road,Delhi,Delhi
A00095,2024-04-12,06:00,22.580281645928498,88.35420286106434,3,Rainy,Daylight,Ring Road,Kolkata,West Bengal
A00096,2024-04-23,19:00,26.939111494905596,75.8045561504832,3,Clear,Night,Curvy Road,Jaipur,Rajasthan
A00097,2024-12-05,18:00,28.608477185306135,77.15054958221718,2,Fog,Sunset,Market Road,Delhi,Delhi
A00098,2024-07-29,16:00,26.86410159745344,80.97653229372654,3,Rainy,Sunset,Market Road,Lucknow,Uttar Pradesh
A00099,2024-12-03,22:00,23.00301824918769,72.59456284366925,3,Fog,Sunset,Market Road,Ahmedabad,Gujarat
A00100,2024-06-09,00:00,12.973692405465233,77.57540706417667,2,Fog,Daylight,Ring Road,Bengaluru,Karnataka
A00101,2024-02-12,20:00,28.610532575991453,77.2300886137572,3,Cloudy,Daylight,Market Road,Delhi,Delhi
A00102,2024-11-03,17:00,28.597825956108434,77.15777926127221,3,Cloudy,Daylight,Tunnel Road,Delhi,Delhi
A00103,2024-01-21,22:00,18.525200546775583,73.87175348208503,3,Fog,Night,Curvy Road,Pune,Maharashtra
A00104,2024-10-14,22:00,26.91158130181081,75.7792823165673,3,Rainy,Sunset,Curvy Road,Jaipur,Rajasthan
A00105,2024-10-16,02:00,23.049205952333743,72.6024574800417,3,Fog,Night,Market Road,Ahmedabad,Gujarat
A00106,2024-07-06,00:00,12.969096860906289,77.55111064340905,2,Sunny,Night,Tunnel Road,Bengaluru,Karnataka
A00107,2024-01-09,14:00,17.393570694008016,78.45469836673522,2,Sunny,Daylight,Tunnel Road,Hyderabad,Telangana
A00108,2024-08-01,22:00,22.622803562708956,88.40411383155372,3,Cloudy,Daylight,Market Road,Kolkata,West Bengal
A00109,2024-09-06,01:00,17.40934189663475,78.45225210133742,3,Clear,Night,Market Road,Hyderabad,Telangana
A00110,2024-11-17,17:00,19.0695526893455,72.88600380347977,3,Rainy,Daylight,Curvy Road,Mumbai,Maharashtra
A00111,2024-10-20,03:00,28.61521339288142,77.2013247658929,2,Sunny,Sunset,Crossroad,Delhi,Delhi
A00112,2024-03-02,20:00,22.595337161883332,88.40767321471905,3,Clear,Daylight,Market Road,Kolkata,West Bengal
A00113,2024-11-23,10:00,17.406841465872898,78.4770152660876,2,Clear,Daylight,Ring Road,Hyderabad,Telangana
A00114,2024-02-05,23:00,23.03041555103222,72.52566753985637,3,Rainy,Night,Highway,Ahmedabad,Gujarat
A00115,2024-04-26,06:00,13.093475491475763,80.28773825229226,1,Clear,Daylight,Curvy Road,Chennai,Tamil Nadu
A00116,2024-11-04,16:00,19.07398465129852,72.85622720032669,3,Rainy,Night,Crossroad,Mumbai,Maharashtra
A00117,2024-12-30,19:00,18.532636303471257,73.87027594309079,3,Fog,Daylight,Tunnel Road,Pune,Maharashtra
A00118,2024-08-01,04:00,13.01411061238945,77.61504018509557,3,Fog,Night,Highway,Bengaluru,Karnataka
A00119,2024-09-07,19:00,23.040429579390597,72.55382553022227,3,Sunny,Daylight,Tunnel Road,Ahmedabad,Gujarat
A00120,2024-03-14,05:00,13.11590894298908,80.28993559987234,3,Cloudy,Sunset,Market Road,Chennai,Tamil Nadu
A00121,2024-11-11,14:00,17.3365390064617,78.42563407471546,3,Cloudy,Night,Crossroad,Hyderabad,Telangana
A00122,2024-09-22,14:00,19.120971032139785,72.87771263777712,3,Cloudy,Daylight,Curvy Road,Mumbai,Maharashtra
A00123,2024-10-14,04:00,17.414367720205963,78.45650460121871,1,Clear,Daylight,Tunnel Road,Hyderabad,Telangana
A00124,2024-03-10,22:00,13.098981131939302,80.2395342063064,3,Cloudy,Night,Market Road,Chennai,Tamil Nadu
A00125,2024-05-15,02:00,12.968476275373265,77.61799266488866,3,Clear,Daylight,Crossroad,Bengaluru,Karnataka
A00126,2024-07-12,04:00,22.575920472169678,88.36767099466532,2,Cloudy,Daylight,Crossroad,Kolkata,West Bengal
A00127,2024-02-14,03:00,28.635129092711257,77.20927114559537,3,Cloudy,Sunset,Tunnel Road,Delhi,Delhi
A00128,2024-10-04,20:00,12.95735906691089,77.62559355546199,3,Cloudy,Night,Highway,Bengaluru,Karnataka
A00129,2024-05-11,13:00,18.449480945172432,73.82504464583691,1,Clear,Daylight,Curvy Road,Pune,Maharashtra
A00130,2024-09-03,11:00,18.537065379390267,73.82913940465542,2,Cloudy,Daylight,Curvy Road,Pune,Maharashtra
A00131,2024-04-22,05:00,19.119852144006046,72.8825315443579,2,Clear,Daylight,Tunnel Road,Mumbai,Maharashtra
A00132,2024-05-31,03:00,26.88026644860895,81.00121767956581,2,Rainy,Night,Tunnel Road,Lucknow,Uttar Pradesh
A00133,2024-08-15,02:00,18.516017395354048,73.83891220400857,2,Sunny,Night,Market Road,Pune,Maharashtra
A00134,2024-03-10,07:00,22.974920500632862,72.51500226844583,3,Rainy,Daylight,Crossroad,Ahmedabad,Gujarat
A00135,2024-08-21,00:00,28.59536322593803,77.1771465683812,3,Clear,Night,Curvy Road,Delhi,Delhi
A00136,2024-11-04,00:00,28.6366298861882,77.20877453907188,3,Rainy,Night,Curvy Road,Delhi,Delhi
A00137,2024-02-24,10:00,13.105172695327592,80.30396365147426,3,Cloudy,Night,Tunnel Road,Chennai,Tamil Nadu
A00138,2024-10-09,08:00,28.62646594242227,77.23491639465007,3,Cloudy,Night,Crossroad,Delhi,Delhi
A00139,2024-09-01,08:00,23.04996251063691,72.60360133766949,3,Cloudy,Night,Highway,Ahmedabad,Gujarat
A00140,2024-11-09,14:00,12.959969654491873,77.57439579432048,3,Cloudy,Daylight,Crossroad,Bengaluru,Karnataka
A00141,2024-08-20,07:00,23.01979625777027,72.60210156744881,1,Clear,Night,Market Road,Ahmedabad,Gujarat
A00142,2024-08-18,10:00,19.10145292646616,72.81029331998046,3,Sunny,Night,Highway,Mumbai,Maharashtra
A00143,2024-07-02,21:00,19.112002368692806,72.86294292657482,3,Cloudy,Night,Curvy Road,Mumbai,Maharashtra
A00144,2024-06-05,04:00,12.952539128335232,77.55891000022729,3,Fog,Night,Ring Road,Bengaluru,Karnataka
A00145,2024-01-28,15:00,22.56868620392882,88.3520408356768,3,Fog,Night,Highway,Kolkata,West Bengal
A00146,2024-03-24,06:00,23.030556019593945,72.61679027798012,1,Clear,Night,Curvy Road,Ahmedabad,Gujarat
A00147,2024-11-29,02:00,18.554188896779724,73.87989762963952,1,Fog,Night,Curvy Road,Pune,Maharashtra
A00148,2024-03-03,07:00,18.48345593754217,73.8959245256863,3,Rainy,Sunset,Market Road,Pune,Maharashtra
A00149,2024-05-17,16:00,13.106223827725941,80.28001773776619,3,Rainy,Daylight,Curvy Road,Chennai,Tamil Nadu
A00150,2024-06-05,19:00,17.42608163017789,78.43388264217275,2,Cloudy,Daylight,Tunnel Road,Hyderabad,Telangana
A00151,2024-08-06,00:00,26.805528761991017,80.94713134693288,1,Rainy,Daylight,Market Road,Lucknow,Uttar Pradesh
A00152,2024-03-18,05:00,26.86367061239008,80.94437805768844,3,Clear,Daylight,Tunnel Road,Lucknow,Uttar Pradesh
A00153,2024-10-01,09:00,12.928939804252774,77.6277518218941,2,Sunny,Daylight,Tunnel Road,Bengaluru,Karnataka
A00154,2024-02-23,19:00,22.591020769417756,88.37975178435603,3,Sunny,Night,Ring Road,Kolkata,West Bengal
A00155,2024-05-29,05:00,28.600097712375995,77.2070083714723,2,Cloudy,Sunset,Market Road,Delhi,Delhi
A00156,2024-11-10,18:00,13.112102806052103,80.28137668132663,3,Clear,Sunset,Market Road,Chennai,Tamil Nadu
A00157,2024-10-30,08:00,26.93252222837851,75.77853220714294,3,Rainy,Night,Market Road,Jaipur,Rajasthan
A00158,2024-03-09,04:00,28.592681198580923,77.21276095947296,2,Sunny,Sunset,Curvy Road,Delhi,Delhi
A00159,2024-06-03,00:00,26.84630481034433,80.9404841489701,3,Cloudy,Daylight,Market Road,Lucknow,Uttar Pradesh
A00160,2024-01-30,02:00,22.566875477836373,88.36279361315968,2,Cloudy,Daylight,Tunnel Road,Kolkata,West Bengal
A00161,2024-07-16,09:00,26.952447097435304,75.80619249635197,1,Fog,Daylight,Market Road,Jaipur,Rajasthan
A00162,2024-02-05,14:00,13.090179257869252,80.30205265422255,3,Cloudy,Night,Market Road,Chennai,Tamil Nadu
A00163,2024-12-06,04:00,19.05144714002174,72.92367103174035,2,Fog,Sunset,Market Road,Mumbai,Maharashtra
A00164,2024-08-31,23:00,19.08702947878974,72.81469920477045,2,Fog,Daylight,Crossroad,Mumbai,Maharashtra
A00165,2024-11-04,00:00,22.5689711456884,88.39763876497348,3,Fog,Sunset,Curvy Road,Kolkata,West Bengal
A00166,2024-09-29,00:00,19.104146659929672,72.86705187645704,2,Fog,Daylight,Curvy Road,Mumbai,Maharashtra
A00167,2024-08-06,17:00,18.553788395906214,73.88902953928587,3,Rainy,Night,Highway,Pune,Maharashtra
A00168,2024-08-03,12:00,18.484219993967823,73.86790479808205,3,Rainy,Night,Curvy Road,Pune,Maharashtra
A00169,2024-03-12,03:00,19.122624812621442,72.90331927929657,3,Sunny,Sunset,Market Road,Mumbai,Maharashtra
A00170,2024-08-29,07:00,26.947925175829806,75.79629323691165,3,Rainy,Night,Ring Road,Jaipur,Rajasthan
A00171,2024-08-18,15:00,26.961244486372706,75.80997775574932,1,Rainy,Daylight,Ring Road,Jaipur,Rajasthan
A00172,2024-07-24,11:00,22.596902419557278,88.33156377691094,3,Cloudy,Sunset,Market Road,Kolkata,West Bengal
A00173,2024-05-26,06:00,13.090134989306222,80.27650119521476,2,Fog,Daylight,Crossroad,Chennai,Tamil Nadu
A00174,2024-01-09,10:00,28.622559617924225,77.21124328803766,3,Cloudy,Daylight,Ring Road,Delhi,Delhi
A00175,2024-06-24,18:00,18.459943820349338,73.81915758382547,3,Rainy,Sunset,Market Road,Pune,Maharashtra
A00176,2024-07-01,21:00,19.070696775106526,72.83124145103409,2,Rainy,Daylight,Curvy Road,Mumbai,Maharashtra
A00177,2024-04-06,23:00,22.5707470740042,88.37828324554258,2,Fog,Daylight,Curvy Road,Kolkata,West Bengal
A00178,2024-11-29,12:00,26.900954275824255,75.76989569045492,3,Cloudy,Daylight,Ring Road,Jaipur,Rajasthan
A00179,2024-05-02,03:00,13.10823207642062,80.31571714106889,2,Rainy,Night,Tunnel Road,Chennai,Tamil Nadu
A00180,2024-11-20,01:00,26.86960863233156,75.81074086667088,3,Clear,Daylight,Crossroad,Jaipur,Rajasthan
A00181,2024-01-09,05:00,22.992609749534786,72.60089352898929,3,Cloudy,Daylight,Crossroad,Ahmedabad,Gujarat
A00182,2024-10-23,21:00,12.976818834490572,77.56342779300824,3,Sunny,Daylight,Curvy Road,Bengaluru,Karnataka
A00183,2024-03-21,10:00,19.139175044760457,72.865906364324,3,Fog,Night,Highway,Mumbai,Maharashtra
A00184,2024-09-18,23:00,12.962467707609866,77.60186472472223,3,Fog,Night,Tunnel Road,Bengaluru,Karnataka
A00185,2024-06-27,10:00,26.92025851048024,75.74964676752231,3,Rainy,Sunset,Tunnel Road,Jaipur,Rajasthan
A00186,2024-04-14,15:00,22.5462518977898,88.39275869858666,2,Sunny,Daylight,Market Road,Kolkata,West Bengal
A00187,2024-01-28,11:00,12.984859580191852,77.58168843570809,2,Cloudy,Night,Tunnel Road,Bengaluru,Karnataka
A00188,2024-04-27,03:00,23.001710474080056,72.5954224406397,3,Fog,Daylight,Market Road,Ahmedabad,Gujarat
A00189,2024-10-22,18:00,13.098299972273935,80.24136488398887,2,Cloudy,Sunset,Tunnel Road,Chennai,Tamil Nadu
A00190,2024-09-29,18:00,22.58864452009038,88.40076941507468,3,Sunny,Daylight,Curvy Road,Kolkata,West Bengal
A00191,2024-03-23,18:00,28.583907415967357,77.18549433447595,3,Fog,Daylight,Market Road,Delhi,Delhi
A00192,2024-12-13,10:00,18.546335897256224,73.90226659744359,3,Clear,Night,Curvy Road,Pune,Maharashtra
A00193,2024-05-01,07:00,19.11114986935342,72.86673992140963,2,Cloudy,Night,Highway,Mumbai,Maharashtra
A00194,2024-03-13,06:00,26.933439750137033,75.7534870764446,3,Sunny,Night,Ring Road,Jaipur,Rajasthan
A00195,2024-03-17,19:00,28.590578297724235,77.22979974070998,3,Sunny,Night,Tunnel Road,Delhi,Delhi
A00196,2024-12-27,16:00,22.976984789099852,72.59391737502565,2,Clear,Night,Crossroad,Ahmedabad,Gujarat
A00197,2024-05-04,00:00,12.955539947389514,77.6053536085463,3,Rainy,Night,Curvy Road,Bengaluru,Karnataka
A00198,2024-03-22,15:00,26.907133081635024,75.80735964414274,1,Cloudy,Night,Market Road,Jaipur,Rajasthan
A00199,2024-08-27,23:00,17.377597480137034,78.47264293231605,3,Clear,Daylight,Crossroad,Hyderabad,Telangana
A00200,2024-10-05,22:00,26.90891312870634,75.79374139549512,3,Fog,Daylight,Ring Road,Jaipur,Rajasthan
A00201,2024-04-09,09:00,19.117479258069928,72.9275012746845,3,Rainy,Sunset,Ring Road,Mumbai,Maharashtra
A00202,2024-07-16,08:00,26.904980043724844,80.93167828942018,3,Sunny,Night,Tunnel Road,Lucknow,Uttar Pradesh
A00203,2024-03-16,02:00,12.93895041538913,77.55621888512441,1,Fog,Night,Crossroad,Bengaluru,Karnataka
A00204,2024-12-05,19:00,19.076574647451736,72.88459102241504,3,Rainy,Sunset,Ring Road,Mumbai,Maharashtra
A00205,2024-12-04,08:00,23.046428085499993,72.54179224027494,2,Cloudy,Daylight,Crossroad,Ahmedabad,Gujarat
A00206,2024-10-02,16:00,12.965993115255142,77.54568580268854,3,Rainy,Night,Crossroad,Bengaluru,Karnataka
A00207,2024-08-18,14:00,12.943132504375255,77.64702089593747,3,Rainy,Sunset,Ring Road,Bengaluru,Karnataka
A00208,2024-06-18,05:00,18.501548477270145,73.84705012454825,3,Rainy,Daylight,Crossroad,Pune,Maharashtra
A00209,2024-01-11,22:00,13.11939249201286,80.2629343679889,2,Cloudy,Night,Tunnel Road,Chennai,Tamil Nadu
A00210,2024-09-18,23:00,26.870110284348492,80.89745606029692,3,Cloudy,Night,Crossroad,Lucknow,Uttar Pradesh
A00211,2024-03-26,09:00,13.070368266243989,80.26677152333447,2,Sunny,Night,Curvy Road,Chennai,Tamil Nadu
A00212,2024-08-13,23:00,13.028882559568805,77.61889667964984,3,Rainy,Night,Ring Road,Bengaluru,Karnataka
A00213,2024-07-08,12:00,28.608476469083136,77.199802916586,3,Rainy,Night,Curvy Road,Delhi,Delhi
A00214,2024-05-09,12:00,26.917633778845104,75.76221135643824,2,Fog,Night,Highway,Jaipur,Rajasthan
A00215,2024-10-25,06:00,26.914561105838516,75.78093373090297,3,Sunny,Sunset,Curvy Road,Jaipur,Rajasthan
A00216,2024-11-04,08:00,26.92242529251735,75.78264222853527,3,Rainy,Night,Crossroad,Jaipur,Rajasthan
A00217,2024-05-12,02:00,13.065463590715984,80.25810409616741,2,Clear,Night,Tunnel Road,Chennai,Tamil Nadu
A00218,2024-04-03,23:00,26.91329896320292,75.79321080498632,2,Rainy,Daylight,Curvy Road,Jaipur,Rajasthan
A00219,2024-02-18,02:00,28.59924824807549,77.22160353994757,1,Rainy,Daylight,Tunnel Road,Delhi,Delhi
A00220,2024-07-06,11:00,28.634811958220432,77.20182500859794,3,Cloudy,Night,Curvy Road,Delhi,Delhi
A00221,2024-09-19,07:00,28.587800594225754,77.18921121096821,1,Cloudy,Sunset,Highway,Delhi,Delhi
A00222,2024-09-15,05:00,18.505105799204273,73.85773323035117,3,Sunny,Daylight,Market Road,Pune,Maharashtra
A00223,2024-03-09,16:00,19.07776952664769,72.89110617502409,3,Cloudy,Daylight,Ring Road,Mumbai,Maharashtra
A00224,2024-08-18,19:00,18.566907490183162,73.85879106944196,1,Fog,Daylight,Market Road,Pune,Maharashtra
A00225,2024-06-23,23:00,22.507041094579954,88.39821510179262,3,Cloudy,Daylight,Market Road,Kolkata,West Bengal
A00226,2024-12-17,21:00,19.06734353912373,72.85418739436628,3,Rainy,Night,Curvy Road,Mumbai,Maharashtra
A00227,2024-04-16,13:00,22.55888807381867,88.36554038225445,3,Sunny,Daylight,Ring Road,Kolkata,West Bengal
A00228,2024-08-21,00:00,19.030565890724578,72.88734779634018,3,Fog,Daylight,Curvy Road,Mumbai,Maharashtra
